#separator:tab
#html:true
#columns:Sentence	Label	Sense	Pattern	Trajector	Landmark	FrameOfRef	ImageSchema	MainUse	QuickCue	Contrast	WhenNotToUse	Tags
The student should base her argument <b>on</b> credible sources.	base on (verb+prep)	dependent	V + on + N-foundation					Using something as a foundation or support	'base on' establishes foundation	ground in (philosophical) / found on (archaic)	when building something physically rather than intellectually (use 'build on')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The success depends <b>on</b> careful planning and teamwork.	depend on (verb+prep)	dependent	V + on + N-factor					Relying on or being determined by factors	'depend on' shows conditional relationship	depend upon (archaic) / hinge on (more dramatic)	when one factor independently causes an outcome (use 'cause')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
She cannot stop <b>from</b> laughing at his silly jokes.	stop from (verb+prep)	dependent	V + from + N-action					Being unable to refrain from an action	'stop from' shows inability to prevent	prevent from (stronger) / refrain from (more formal)	when actively preventing someone else (use 'prevent from')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
We should aim <b>at</b> completing the project by December.	aim at (verb+prep)	dependent	V + at + N-goal					Directing effort toward achieving a goal	'aim at' targets an objective	aim for (similar, slightly less formal) / shoot for (informal)	when more informally pursuing a goal (use 'aim for' or 'go for')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
She is applying <b>for</b> several jobs in the tech sector.	apply for (verb+prep)	dependent	V + for + N-opportunity					Formally requesting or seeking something	'apply for' submits a request	apply to (place/institution) / request (more formal)	when seeking entry to a place (use 'apply to')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
The new policy applies <b>to</b> all employees without exception.	apply to (verb+prep)	dependent	V + to + N-recipient					Being relevant or affecting a specific group	'apply to' shows scope or relevance	apply for (request) / affect (broader)	when formally requesting something (use 'apply for')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The company is looking <b>into</b> expanding to three new markets.	look into (verb+prep)	dependent	V + into + N-possibility					Investigating or exploring possibilities	'look into' examines options	look at (simple observation) / consider (more decision-focused)	when casually observing without investigation (use 'look at')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
He searched <b>for</b> the missing document in every drawer.	search for (verb+prep)	dependent	V + for + N-object					Looking carefully and thoroughly for something	'search for' is thorough seeking	look for (less thorough) / hunt for (more intense)	when casually glancing (use 'look for')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
The teacher asked <b>for</b> suggestions to improve the class.	ask for (verb+prep)	dependent	V + for + N-request					Requesting or soliciting something	'ask for' makes a request	ask about (information) / request (formal)	when seeking information (use 'ask about')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
They blamed her <b>for</b> the project's failure.	blame for (verb+prep)	dependent	V + for + N-fault					Holding someone responsible for something wrong	'blame for' assigns responsibility	blame on (informal) / hold responsible (formal)	when assigning general responsibility (use 'hold responsible')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
We succeeded <b>in</b> completing the renovation on schedule.	succeed in (verb+prep)	dependent	V + in + N-goal					Accomplishing or achieving something difficult	'succeed in' marks achievement	manage to (similar) / achieve (broader)	when outcome is guaranteed without effort (use 'achieve')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
I cannot avoid <b>dealing</b> with this problem any longer.	avoid (verb+prep)	dependent	V + avoiding + N-action					Staying away from or abstaining from something	'avoid' takes gerund form	evade (more evasive) / sidestep (deliberate)	when you cannot help but do something (use 'cannot avoid')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
She is interested <b>in</b> learning Spanish fluently.	interested in (verb+prep)	dependent	V + in + N-activity					Having curiosity or engagement in an activity	'interested in' shows engagement	interested by (less common) / keen on (similar)	when something causes your interest (use 'interested by' or 'captivated by')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
The manager insisted <b>on</b> meeting with the entire team.	insist on (verb+prep)	dependent	V + on + N-demand					Firmly requiring or demanding something	'insist on' is firm requirement	demand (similar) / require (formal)	when making a simple requirement (use 'require')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
The movie focuses <b>on</b> the lives of immigrant families.	focus on (verb+prep)	dependent	V + on + N-subject					Centering or directing attention to a subject	'focus on' directs narrative attention	concentrate on (synonymous) / feature (different)	when showcasing something without deep focus (use 'feature')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
He is waiting <b>for</b> the delivery to arrive tomorrow.	wait for (verb+prep)	dependent	V + for + N-event					Remaining in a state of expectation	'wait for' is temporal expectation	wait on (serve) / await (more formal)	when serving someone (use 'wait on')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
They protested <b>against</b> the proposed increase in fees.	protest against (verb+prep)	dependent	V + against + N-policy					Objecting strongly to something	'protest against' shows opposition	protest (standalone) / object to (more formal)	when expressing mild disagreement (use 'object to')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
The evidence points <b>to</b> a different conclusion than expected.	point to (verb+prep)	dependent	V + to + N-conclusion					Suggesting or indicating something	'point to' indicates direction toward	point out (explicit) / suggest (less direct)	when making something explicitly obvious (use 'point out')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
He admitted <b>to</b> making several mistakes in the report.	admit to (verb+prep)	dependent	V + to + N-wrongdoing					Confessing or acknowledging guilt	'admit to' confesses responsibility	admit (without prep) / confess to (more serious)	when acknowledging a fact without guilt (use simple 'admit')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
